"Environment and Climate Change Canada"
"Monthly Values for April - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"NORTH BAY A","46.364","-79.424","ON","5.8","8",NA,"28.3","8","-6.1","7","",,NA,"106.0","8",NA,"","12","",,NA,"269.5","0.0","6085680"
"GORE BAY CLIMATE","45.883","-82.567","ON","5.7","0",NA,"19.7","0","-3.8","0","",,NA,"91.9","1",NA,"","10","",,NA,"368.6","0.0","6092920"
"GREAT DUCK ISLAND (AUT)","45.633","-82.950","ON","5.0","3",NA,"13.4","2","-2.0","1","",,NA,"",,NA,"","","",,NA,"351.4","0.0","6093005"
"SANDFIELD","45.690","-81.982","ON","6.6","0",NA,"21.0","0","-3.0","0","3.0","0",NA,"135.2","0",NA,"0.0","14","","",NA,"343.0","0.0","6097426"
"APPLETON","45.186","-76.113","ON","7.5","0",NA,"28.0","0","-3.5","0","1.2","0",NA,"126.0","0",NA,"0.0","15","","",NA,"315.6","1.8","6100285"
"BROCKVILLE CLIMATE","44.635","-75.748","ON","8.1","1",NA,"29.2","1","-2.5","0","",,NA,"78.1","1",NA,"","13","",,NA,"289.1","1.9","6100970"
"BROCKVILLE PCC","44.600","-75.667","ON","8.3","0","1.6","27.0","0","-1.5","0","0.0","0","0.0","134.4","0","174.0","0.0","15","","",NA,"291.4","0.5","6100971"
"CHALK RIVER AECL","46.050","-77.367","ON","7.0","11","1.5","25.5","11","-4.5","11","5.6","11",NA,"85.2","11",NA,"","9","","",NA,"209.3","0.5","6101335"
"CORNWALL","45.016","-74.749","ON","8.6","1","1.5","27.0","1","-2.0","1","0.0","1",NA,"141.1","1",NA,"0.0","15","","",NA,"275.9","2.0","6101874"
"DRUMMOND CENTRE","45.032","-76.253","ON","7.8","0","1.9","29.0","0","-4.5","0","0.0","0","0.0","126.2","0","197.0","0.0","14","","",NA,"307.1","2.5","6102J13"
