"Environment and Climate Change Canada"
"Monthly Values for December - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"COLDWATER WARMINSTER","44.631","-79.539","ON","-8.0","0",NA,"8.5","0","-30.0","0","165.0","0",NA,"170.4","0",NA,"49.0","19","","",NA,"806.3","0.0","6111769"
"COLLINGWOOD","44.500","-80.217","ON","-5.1","2",NA,"14.6","2","-22.2","0","",,NA,"51.1","2",NA,"","11","",,NA,"668.9","0.0","6111792"
"LAGOON CITY","44.547","-79.217","ON","-7.7","0",NA,"9.5","0","-27.0","0","",,NA,"",,NA,"","","",,NA,"797.7","0.0","6114295"
"MARKDALE","44.269","-80.712","ON","-6.1","5",NA,"11.0","5","-29.5","5","123.8","5",NA,"126.0","5",NA,"34.0","17","","",NA,"626.9","0.0","6114979"
"MUSKOKA","44.975","-79.303","ON","-10.6","9",NA,"11.3","9","-36.4","8","",,NA,"35.2","11",NA,"","6","",,NA,"628.8","0.0","6115529"
"NIPISSING","46.100","-79.521","ON","",,NA,"",,"",,"18.0","13",NA,"29.0","13",NA,"22.0","5","","",NA,"","","6115669"
"ORILLIA BRAIN","44.603","-79.439","ON","-8.0","0",NA,"12.0","0","-29.5","0","158.2","0",NA,"168.8","0",NA,"50.0","16","","",NA,"806.7","0.0","6115811"
"PARRY SOUND CCG","45.344","-80.044","ON","-8.9","1",NA,"11.2","0","-30.7","1","",,NA,"0.0","0",NA,"27.0","0","",,NA,"808.3","0.0","6116257"
"SHANTY BAY","44.399","-79.633","ON","-6.8","0","-3.3","12.0","0","-31.0","0","77.6","0","127.0","88.2","0","105.0","35.0","17","","",NA,"770.1","0.0","6117684"
"BARRIE-ORO","44.483","-79.550","ON","-8.5","0",NA,"11.8","0","-33.0","0","",,NA,"60.6","0",NA,"33.0","17","",,NA,"820.9","0.0","6117700"
"SPRUCEDALE","45.425","-79.488","ON","",,NA,"",,"",,"69.6","0",NA,"110.8","0",NA,"38.0","17","","",NA,"","","6117981"
"THORNBURY 3","44.551","-80.468","ON","",,NA,"",,"",,"186.0","0",NA,"191.3","0",NA,"44.0","24","","",NA,"","","6118240"
"UDORA","44.263","-79.161","ON","-6.6","0","-2.6","11.0","0","-28.0","0","49.0","0","138.0","52.8","0","88.0","15.0","14","","",NA,"762.8","0.0","6119055"
"WIARTON A","44.744","-81.109","ON","-5.8","0",NA,"13.1","0","-26.9","0","149.3","0",NA,"125.5","0",NA,"53.0","21","",,NA,"736.5","0.0","6119499"
"WESTERN ISLAND (AUT)","45.033","-80.367","ON","-4.4","2",NA,"11.3","2","-20.4","0","",,NA,"",,NA,"","","",,NA,"650.4","0.0","6119M51"
"BORDEN AWOS","44.272","-79.912","ON","-7.4","1",NA,"12.6","0","-34.8","1","",,NA,"33.5","3",NA,"","10","",,NA,"763.1","0.0","611B002"
"EGBERT CS","44.233","-79.783","ON","-7.2","0",NA,"12.0","0","-28.4","0","",,NA,"32.2","0",NA,"15.0","11","",,NA,"780.6","0.0","611E001"
"COVE ISLAND (AUT)","45.333","-81.733","ON","-4.1","5",NA,"10.1","4","-18.1","1","",,NA,"",,NA,"","","",,NA,"573.3","0.0","61219J2"
"GODERICH","43.767","-81.717","ON","-3.7","0",NA,"12.8","0","-16.9","0","",,NA,"46.7","0",NA,"9.0","11","",,NA,"672.6","0.0","6122847"
"KINCARDINE","44.173","-81.623","ON","-3.7","11",NA,"13.0","11","-15.0","11","94.8","11",NA,"96.0","11",NA,"0.0","15","","",NA,"434.1","0.0","6124127"
"SARNIA","42.999","-82.309","ON","-4.9","4",NA,"12.1","4","-18.7","4","",,NA,"2.0","4",NA,"","1","",,NA,"617.4","0.0","6127510"
"SARNIA CLIMATE","43.000","-82.300","ON","-4.0","0",NA,"12.4","0","-18.6","0","",,NA,"35.2","0",NA,"5.0","9","",,NA,"682.9","0.0","6127519"
"TOBERMORY RCS","45.233","-81.633","ON","-8.9","9",NA,"2.6","9","-25.0","8","",,NA,"116.1","9",NA,"49.0","17","",,NA,"591.6","0.0","6128330"
"WROXETER","43.863","-81.152","ON","",,NA,"",,"",,"76.4","0",NA,"83.0","0",NA,"30.0","21","","",NA,"","","6129660"
"AMHERSTBURG","42.103","-83.094","ON","-3.0","0","-2.1","11.5","0","-18.5","0","52.2","0","294.0","56.2","0","90.0","14.0","11","","",NA,"651.5","0.0","6130257"
"CHATHAM WPCP","42.390","-82.215","ON","-1.0","24","-0.1","8.0","24","-15.0","24","5.6","24",NA,"7.0","24",NA,"","3","","",NA,"133.0","0.0","6131415"
"DELHI CS","42.867","-80.550","ON","-5.4","0",NA,"11.5","0","-26.9","0","",,NA,"60.4","0",NA,"","13","",,NA,"726.1","0.0","6131983"
"FORT ERIE","42.883","-78.967","ON","-2.6","12","-1.8","9.0","12","-22.0","12","38.4","12",NA,"44.8","12",NA,"18.0","10","","",NA,"391.1","0.0","6132470"
"GRIMSBY MOUNTAIN","43.184","-79.558","ON","-3.8","0",NA,"11.5","0","-22.0","0","59.4","0",NA,"53.0","0",NA,"15.0","9","","",NA,"675.3","0.0","6133055"
"HARROW CDA AUTO","42.033","-82.900","ON","-3.6","0",NA,"11.8","0","-20.8","0","",,NA,"30.4","0",NA,"21.0","6","",,NA,"669.2","0.0","6133362"
"KINGSVILLE MOE","42.043","-82.674","ON","-3.5","11","-2.9","11.0","10","-18.0","11","15.0","10",NA,"17.5","10",NA,"","5","","",NA,"430.6","0.0","6134190"
"LONG POINT (AUT)","42.567","-80.050","ON","-1.2","2",NA,"12.3","2","-14.3","0","",,NA,"",,NA,"","","",,NA,"556.9","0.0","6134F10"
"NEW GLASGOW","42.514","-81.636","ON","-4.1","2","-3.0","11.0","2","-21.0","2","69.0","2",NA,"78.0","2",NA,"30.0","12","","",NA,"642.0","0.0","6135583"
"PORT COLBORNE","42.883","-79.250","ON","-3.9","5","-3.6","13.0","5","-21.0","5","53.2","5",NA,"62.2","5",NA,"3.0","10","","",NA,"570.5","0.0","6136606"
"PORT WELLER (AUT)","43.250","-79.217","ON","-1.9","0",NA,"11.9","0","-13.2","0","",,NA,"29.2","0",NA,"7.0","9","",,NA,"617.2","0.0","6136699"
"RIDGETOWN RCS","42.450","-81.883","ON","-6.2","6",NA,"12.3","6","-27.0","1","",,NA,"50.2","7",NA,"","10","",,NA,"603.9","0.0","6137154"
"ST THOMAS WPCP","42.768","-81.205","ON","-1.3","9","0.0","11.0","7","-21.0","6","31.0","8",NA,"39.4","8",NA,"","9","","",NA,"425.5","0.0","6137362"
"TILLSONBURG WWTP","42.855","-80.722","ON","",,NA,"",,"",,"59.0","0",NA,"72.8","0",NA,"18.0","14","","",NA,"","","6138270"
"VINELAND STATION RCS","43.183","-79.400","ON","-3.4","1",NA,"12.2","0","-17.4","1","",,NA,"43.6","1",NA,"8.0","12","",,NA,"642.6","0.0","6139148"
"WELLAND-PELHAM","42.967","-79.333","ON","-5.1","1",NA,"11.4","0","-24.7","1","",,NA,"52.0","1",NA,"8.0","11","",,NA,"692.0","0.0","6139449"
"WINDSOR RIVERSIDE","42.333","-82.933","ON","-2.5","0",NA,"13.0","0","-18.5","0","56.0","0",NA,"58.8","0",NA,"14.0","11","","",NA,"634.4","0.0","6139520"
"WINDSOR A","42.276","-82.955","ON","-3.4","1",NA,"12.2","0","-20.2","1","59.4","0",NA,"58.2","0",NA,"13.0","10","",,NA,"642.0","0.0","6139527"
