"Environment and Climate Change Canada"
"Monthly Values for May - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHALK RIVER AECL","46.050","-77.367","ON","12.4","9","-0.1","32.0","9","-2.0","9","1.8","9",NA,"100.2","9",NA,"0.0","10","","",NA,"133.8","10.0","6101335"
"CORNWALL","45.016","-74.749","ON","13.7","0","-0.3","30.0","0","0.5","0","0.0","0","0.0","141.6","0","162.0","0.0","15","","",NA,"148.6","13.8","6101874"
"DRUMMOND CENTRE","45.032","-76.253","ON","12.2","0","-0.5","31.0","0","-2.5","0","0.0","0","0.0","164.8","0","214.0","0.0","15","","",NA,"189.3","9.3","6102J13"
"HARTINGTON IHD","44.428","-76.690","ON","12.2","0","-0.7","29.0","0","0.0","0","0.0","0","0.0","170.6","0","186.0","0.0","14","","",NA,"185.5","7.1","6103367"
"KEMPTVILLE CS","45.000","-75.633","ON","11.8","1",NA,"29.5","1","-1.5","0","",,NA,"175.3","1",NA,"","14","",,NA,"189.6","2.3","6104027"
"KINGSTON CLIMATE","44.223","-76.599","ON","11.6","0",NA,"26.4","0","-0.4","0","",,NA,"157.3","0",NA,"","13","",,NA,"201.0","2.0","6104142"
"LYNDHURST SHAWMERE","44.517","-76.083","ON","12.5","6","-0.7","29.0","6","-1.0","5","0.0","5",NA,"133.1","5",NA,"0.0","8","","",NA,"144.6","7.6","6104725"
"MOOSE CREEK WELLS","45.251","-74.963","ON","12.2","0",NA,"29.6","0","-1.4","0","",,NA,"",,NA,"","","",,NA,"188.2","8.2","6105397"
"OMPAH-SEITZ","45.054","-76.784","ON","11.4","0",NA,"30.0","0","0.0","0","2.2","0",NA,"195.0","0",NA,"0.0","19","","",NA,"212.2","8.3","6105762"
"OTTAWA CDA","45.383","-75.717","ON","12.9","0","-0.6","31.0","0","-0.5","0","0.0","0","0.0","172.4","0","199.0","0.0","12","","",NA,"170.2","10.8","6105976"
"OTTAWA CDA RCS","45.383","-75.717","ON","12.2","1",NA,"30.8","1","-0.4","0","",,NA,"182.0","1",NA,"","14","",,NA,"178.5","3.4","6105978"
"OTTAWA INTL A","45.317","-75.667","ON","12.2","0",NA,"30.9","0","-1.8","0","0.8","0",NA,"177.6","0",NA,"","14","",,NA,"190.4","9.1","6106001"
"PEMBROKE CLIMATE","45.860","-77.252","ON","10.5","2",NA,"31.1","2","-2.5","0","",,NA,"145.8","2",NA,"","15","",,NA,"220.2","1.7","6106367"
"PETAWAWA AWOS 2","45.950","-77.317","ON","10.5","6",NA,"31.5","3","-2.4","4","",,NA,"146.0","0",NA,"","16","",,NA,"193.1","5.4","6106396"
"ST. ALBERT","45.287","-75.064","ON","11.5","2","-1.3","26.0","2","-2.0","2","0.0","2",NA,"176.4","2",NA,"0.0","14","","",NA,"188.3","0.0","6107276"
"PETAWAWA HOFFMAN","45.883","-77.250","ON","12.1","0",NA,"32.5","0","-1.5","0","2.0","0",NA,"165.6","0",NA,"0.0","18","","",NA,"193.2","11.3","610FC98"
