"Environment and Climate Change Canada"
"Monthly Values for September - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"COVE ISLAND (AUT)","45.333","-81.733","ON","17.0","6",NA,"27.3","5","7.9","2","",,NA,"",,NA,"","","",,NA,"50.6","25.4","61219J2"
"GODERICH","43.767","-81.717","ON","16.9","0",NA,"29.5","0","4.4","0","",,NA,"118.0","0",NA,"","10","",,NA,"77.4","43.7","6122847"
"KINCARDINE","44.173","-81.623","ON","18.4","15",NA,"31.0","15","7.5","15","0.0","15",NA,"71.0","15",NA,"","7","","",NA,"24.6","30.9","6124127"
"SARNIA","42.999","-82.309","ON","17.7","0",NA,"32.3","0","4.6","0","",,NA,"0.0","0",NA,"","0","",,NA,"64.4","54.8","6127510"
"SARNIA CLIMATE","43.000","-82.300","ON","17.8","0",NA,"32.6","0","4.7","0","",,NA,"44.8","0",NA,"","5","",,NA,"64.0","57.7","6127519"
"TOBERMORY RCS","45.233","-81.633","ON","16.1","0",NA,"26.3","0","3.8","0","",,NA,"52.2","0",NA,"","7","",,NA,"89.1","33.2","6128330"
"WROXETER","43.863","-81.152","ON","",,NA,"",,"",,"0.0","0",NA,"89.2","0",NA,"0.0","8","","",NA,"","","6129660"
"AMHERSTBURG","42.103","-83.094","ON","19.4","0","1.3","32.5","0","7.0","0","0.0","0",NA,"56.4","0","66.0","0.0","6","","",NA,"33.2","76.4","6130257"
"CHATHAM WPCP","42.390","-82.215","ON","23.3","29","5.5","26.5","29","20.0","29","0.0","29",NA,"0.0","29",NA,"","0","","",NA,"0.0","5.3","6131415"
"DELHI CS","42.867","-80.550","ON","17.5","0",NA,"33.2","0","2.3","0","",,NA,"28.7","0",NA,"","6","",,NA,"68.5","53.6","6131983"
