"Environment and Climate Change Canada"
"Monthly Values for June - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BROCKVILLE CLIMATE","44.635","-75.748","ON","17.4","0",NA,"30.9","0","4.4","0","",,NA,"105.2","0",NA,"","11","",,NA,"56.9","39.5","6100970"
"BROCKVILLE PCC","44.600","-75.667","ON","18.1","1","-0.1","30.5","1","6.0","1","0.0","1",NA,"86.4","1",NA,"0.0","13","","",NA,"39.2","41.1","6100971"
"CHALK RIVER AECL","46.050","-77.367","ON","17.5","8","-0.3","31.5","8","5.0","8","0.0","8",NA,"77.2","8",NA,"0.0","10","","",NA,"33.3","22.5","6101335"
"CORNWALL","45.016","-74.749","ON","18.9","0","-0.1","32.0","0","7.0","0","0.0","0",NA,"135.2","0","139.0","0.0","17","","",NA,"33.8","60.9","6101874"
"DRUMMOND CENTRE","45.032","-76.253","ON","17.5","0","-0.3","32.5","0","4.5","0","0.0","0",NA,"166.2","0","202.0","0.0","13","","",NA,"55.2","41.3","6102J13"
"HARTINGTON IHD","44.428","-76.690","ON","17.3","0","-0.5","29.5","0","0.5","0","0.0","0",NA,"129.0","0","152.0","0.0","14","","",NA,"56.6","36.8","6103367"
"KEMPTVILLE CS","45.000","-75.633","ON","17.5","0",NA,"31.5","0","4.4","0","",,NA,"144.1","0",NA,"","14","",,NA,"54.9","41.3","6104027"
"KINGSTON CLIMATE","44.223","-76.599","ON","17.2","1",NA,"27.7","1","4.7","0","",,NA,"93.5","1",NA,"","8","",,NA,"46.0","22.5","6104142"
"LYNDHURST SHAWMERE","44.517","-76.083","ON","18.2","0","0.0","31.0","0","6.0","0","0.0","0",NA,"128.0","0","154.0","0.0","14","","",NA,"42.3","48.3","6104725"
"MOOSE CREEK WELLS","45.251","-74.963","ON","17.6","0",NA,"32.1","0","5.9","0","",,NA,"",,NA,"","","",,NA,"53.8","40.5","6105397"
"OMPAH-SEITZ","45.054","-76.784","ON","17.0","0",NA,"31.5","0","4.0","0","0.0","0",NA,"149.4","0",NA,"0.0","19","","",NA,"64.6","33.7","6105762"
"OTTAWA CDA","45.383","-75.717","ON","18.6","0","-0.1","32.5","0","6.5","0","0.0","0",NA,"156.8","0","169.0","0.0","13","","",NA,"37.3","55.1","6105976"
"OTTAWA CDA RCS","45.383","-75.717","ON","18.2","0",NA,"32.5","0","6.4","0","",,NA,"136.5","0",NA,"","13","",,NA,"42.2","48.9","6105978"
"OTTAWA INTL A","45.317","-75.667","ON","17.8","0",NA,"32.7","0","4.8","0","0.0","0",NA,"130.0","0",NA,"","15","",,NA,"52.1","45.0","6106001"
"PEMBROKE CLIMATE","45.860","-77.252","ON","16.7","0",NA,"32.1","0","4.0","0","",,NA,"146.6","0",NA,"","15","",,NA,"71.0","30.6","6106367"
"PETAWAWA AWOS 2","45.950","-77.317","ON","16.7","5",NA,"31.2","5","4.4","1","",,NA,"132.5","1",NA,"","15","",,NA,"52.5","19.8","6106396"
"ST. ALBERT","45.287","-75.064","ON","18.0","1","-0.1","32.0","1","6.0","1","0.0","1",NA,"108.4","1",NA,"0.0","12","","",NA,"44.7","44.6","6107276"
