"Environment and Climate Change Canada"
"Monthly Values for March - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"HARTINGTON IHD","44.428","-76.690","ON","-2.7","1","-1.4","13.0","1","-18.0","1","15.0","1",NA,"62.6","1",NA,"1.0","9","","",NA,"622.3","0.0","6103367"
"KEMPTVILLE CS","45.000","-75.633","ON","-4.9","1",NA,"12.3","1","-20.2","0","",,NA,"94.4","1",NA,"2.0","11","",,NA,"686.7","0.0","6104027"
"KINGSTON CLIMATE","44.223","-76.599","ON","-3.2","1",NA,"12.6","1","-18.4","0","",,NA,"59.2","1",NA,"0.0","11","",,NA,"635.6","0.0","6104142"
"LYNDHURST SHAWMERE","44.517","-76.083","ON","-3.3","3","-1.7","16.5","2","-19.0","3","17.2","2",NA,"49.6","2",NA,"0.0","9","","",NA,"595.1","0.0","6104725"
"MOOSE CREEK WELLS","45.251","-74.963","ON","-5.9","0",NA,"9.5","0","-23.2","0","",,NA,"",,NA,"4.0","","",,NA,"742.4","0.0","6105397"
"OMPAH-SEITZ","45.054","-76.784","ON","-5.4","0",NA,"8.5","0","-25.0","0","33.2","0",NA,"70.6","0",NA,"19.0","12","","",NA,"724.9","0.0","6105762"
"OTTAWA CDA","45.383","-75.717","ON","-5.0","0","-2.8","8.5","0","-21.0","0","35.4","0","122.0","61.8","0","108.0","3.0","9","","",NA,"713.3","0.0","6105976"
"OTTAWA CDA RCS","45.383","-75.717","ON","-5.4","5",NA,"8.2","5","-20.8","0","",,NA,"79.2","5",NA,"5.0","9","",,NA,"607.6","0.0","6105978"
"OTTAWA INTL A","45.317","-75.667","ON","-5.6","0",NA,"8.1","0","-20.5","0","57.4","0",NA,"86.8","0",NA,"2.0","11","",,NA,"731.7","0.0","6106001"
"PEMBROKE CLIMATE","45.860","-77.252","ON","-7.2","1",NA,"8.5","1","-30.0","0","",,NA,"57.2","1",NA,"17.0","8","",,NA,"755.2","0.0","6106367"
"PETAWAWA AWOS 2","45.950","-77.317","ON","-5.6","8",NA,"8.5","8","-30.4","2","",,NA,"41.5","4",NA,"","7","",,NA,"542.3","0.0","6106396"
"ST. ALBERT","45.287","-75.064","ON","-6.3","0","-3.4","7.0","0","-23.0","0","67.0","0","185.0","112.4","0","162.0","0.0","12","","",NA,"753.7","0.0","6107276"
"PETAWAWA HOFFMAN","45.883","-77.250","ON","-5.4","0",NA,"9.0","0","-26.5","0","32.2","0",NA,"63.8","0",NA,"51.0","8","","",NA,"726.7","0.0","610FC98"
"BALDWIN","44.267","-79.319","ON","-2.0","0",NA,"15.5","0","-21.0","0","11.8","0",NA,"50.3","0",NA,"0.0","12","","",NA,"620.3","0.0","6110480"
"BARRIE LANDFILL","44.385","-79.736","ON","-2.1","8",NA,"15.0","4","-19.0","4","21.6","4",NA,"46.7","4",NA,"0.0","9","","",NA,"462.4","0.0","6110556"
"BEATRICE CLIMATE","45.140","-79.403","ON","-5.9","1",NA,"9.5","1","-25.8","0","",,NA,"87.5","1",NA,"2.0","13","",,NA,"715.6","0.0","6110607"
"COLDWATER WARMINSTER","44.631","-79.539","ON","-3.0","0",NA,"13.0","0","-20.0","0","23.4","0",NA,"61.4","0",NA,"3.0","13","","",NA,"651.4","0.0","6111769"
"COLLINGWOOD","44.500","-80.217","ON","-1.8","1",NA,"15.6","1","-16.0","0","",,NA,"49.6","1",NA,"","9","",,NA,"594.3","0.0","6111792"
"LAGOON CITY","44.547","-79.217","ON","-3.6","1",NA,"11.9","0","-17.5","1","",,NA,"",,NA,"","","",,NA,"647.3","0.0","6114295"
"MARKDALE","44.269","-80.712","ON","-2.4","16",NA,"11.5","16","-21.0","16","8.6","26",NA,"26.6","22",NA,"","6","","",NA,"306.0","0.0","6114979"
"MUSKOKA SNOW","44.983","-79.050","ON","",,NA,"",,"",,"20.0","0",NA,"61.6","0",NA,"30.0","12","","",NA,"","","6115526"
"MUSKOKA","44.975","-79.303","ON","-6.3","7",NA,"8.8","7","-24.8","7","",,NA,"57.2","7",NA,"","5","",,NA,"584.0","0.0","6115529"
"NIPISSING","46.100","-79.521","ON","",,NA,"",,"",,"7.0","8",NA,"24.2","8",NA,"0.0","6","","",NA,"","","6115669"
"ORILLIA BRAIN","44.603","-79.439","ON","0.2","12",NA,"11.5","12","-18.5","12","20.6","12",NA,"54.2","12",NA,"5.0","11","","",NA,"338.0","0.0","6115811"
"PARRY SOUND CCG","45.344","-80.044","ON","-4.0","0",NA,"10.8","0","-22.5","0","",,NA,"63.5","0",NA,"","7","",,NA,"682.5","0.0","6116257"
"SHANTY BAY","44.399","-79.633","ON","-2.7","0","-0.8","15.0","0","-22.5","0","43.0","0","127.0","74.8","0","117.0","1.0","13","","",NA,"641.6","0.0","6117684"
"BARRIE-ORO","44.483","-79.550","ON","-3.6","1",NA,"14.7","1","-22.5","0","",,NA,"47.4","1",NA,"4.0","9","",,NA,"646.5","0.0","6117700"
"SPRUCEDALE","45.425","-79.488","ON","",,NA,"",,"",,"15.6","2",NA,"68.2","2",NA,"23.0","10","","",NA,"","","6117981"
"THORNBURY 3","44.551","-80.468","ON","",,NA,"",,"",,"19.0","0",NA,"58.9","0",NA,"0.0","16","","",NA,"","","6118240"
"UDORA","44.263","-79.161","ON","-2.4","0","-1.1","15.0","0","-19.5","0","9.0","0","35.0","51.6","0","97.0","1.0","14","","",NA,"632.6","0.0","6119055"
"WIARTON A","44.744","-81.109","ON","-2.7","0",NA,"14.6","0","-17.8","0","30.2","1",NA,"72.2","1",NA,"0.0","13","",,NA,"641.2","0.0","6119499"
"WESTERN ISLAND (AUT)","45.033","-80.367","ON","-3.0","0",NA,"10.7","0","-15.8","0","",,NA,"",,NA,"","","",,NA,"652.2","0.0","6119M51"
"BORDEN AWOS","44.272","-79.912","ON","-3.1","8",NA,"15.3","6","-24.5","2","",,NA,"17.0","9",NA,"","7","",,NA,"485.9","0.0","611B002"
"EGBERT CS","44.233","-79.783","ON","-2.6","0",NA,"14.3","0","-19.8","0","",,NA,"54.8","0",NA,"2.0","12","",,NA,"638.8","0.0","611E001"
"COVE ISLAND (AUT)","45.333","-81.733","ON","-2.5","3",NA,"9.1","2","-13.9","2","",,NA,"",,NA,"","","",,NA,"574.1","0.0","61219J2"
"GODERICH","43.767","-81.717","ON","-0.9","1",NA,"13.9","1","-17.9","0","",,NA,"34.8","1",NA,"0.0","8","",,NA,"566.6","0.0","6122847"
"KINCARDINE","44.173","-81.623","ON","-0.3","3",NA,"13.5","3","-14.0","3","27.2","3",NA,"44.4","3",NA,"0.0","13","","",NA,"512.6","0.0","6124127"
"SARNIA","42.999","-82.309","ON","-0.5","9",NA,"12.2","9","-10.6","9","",,NA,"48.7","9",NA,"","4","",,NA,"407.6","0.0","6127510"
"SARNIA CLIMATE","43.000","-82.300","ON","0.8","0",NA,"21.1","0","-10.7","0","",,NA,"66.7","0",NA,"","6","",,NA,"534.4","0.0","6127519"
"TOBERMORY RCS","45.233","-81.633","ON","-3.5","1",NA,"8.6","1","-16.0","0","",,NA,"68.6","1",NA,"1.0","11","",,NA,"646.1","0.0","6128330"
"WROXETER","43.863","-81.152","ON","",,NA,"",,"",,"27.0","0",NA,"58.8","0",NA,"0.0","16","","",NA,"","","6129660"
"AMHERSTBURG","42.103","-83.094","ON","2.3","1","0.0","22.5","1","-11.0","1","11.0","1",NA,"49.6","1",NA,"0.0","10","","",NA,"471.9","0.0","6130257"
"CHATHAM WPCP","42.390","-82.215","ON","12.0","30","10.1","15.0","30","9.0","30","0.0","30",NA,"2.4","30",NA,"","1","","",NA,"6.0","0.0","6131415"
"DELHI CS","42.867","-80.550","ON","-0.4","1",NA,"18.9","1","-11.8","0","",,NA,"110.9","1",NA,"0.0","12","",,NA,"551.4","0.0","6131983"
"FORT ERIE","42.883","-78.967","ON","-0.1","4","-0.5","15.0","4","-13.5","4","35.0","4",NA,"103.0","4",NA,"0.0","11","","",NA,"490.0","0.0","6132470"
"GRIMSBY MOUNTAIN","43.184","-79.558","ON","0.6","0",NA,"18.5","0","-11.5","0","30.0","0",NA,"89.2","0",NA,"0.0","12","","",NA,"540.6","0.0","6133055"
"HARROW CDA AUTO","42.033","-82.900","ON","1.6","0",NA,"20.8","0","-9.8","0","",,NA,"113.5","0",NA,"0.0","11","",,NA,"507.2","0.0","6133362"
"KINGSVILLE MOE","42.043","-82.674","ON","2.1","0","0.4","16.0","0","-10.0","0","25.0","0","163.0","71.1","0","109.0","0.0","8","","",NA,"494.1","0.0","6134190"
"LONG POINT (AUT)","42.567","-80.050","ON","0.6","0",NA,"13.7","0","-9.7","0","",,NA,"",,NA,"","","",,NA,"538.8","0.0","6134F10"
